what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui",1346958727531
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1346958727531
started,bundle,org.eclipse.jface,3.7.0.v20110928-1505,"org.eclipse.jface",1346958727531
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1346958727531
started,bundle,org.eclipse.jst.j2ee.webservice,1.1.400.v201004110600,"org.eclipse.jst.j2ee.webservice",1346958727531
started,bundle,org.eclipse.jst.j2ee.webservice.ui,1.1.500.v201105122000,"org.eclipse.jst.j2ee.webservice.ui",1346958727531
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.100.v201201031437,"org.eclipse.jst.ws.jaxws.utils",1346958727531
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1346958727531
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1346958727531
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1346958727531
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1346958727531
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1346958727531
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1346958727531
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1346958727531
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1346958727531
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1346958727531
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1346958727531
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1346958727531
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1346958727531
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1346958727531
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1346958727531
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1346958727531
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1346958727531
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1346958727531
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1346958727531
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1346958727531
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1346958727531
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1346958727531
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1346958727531
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1346958727531
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1346958727531
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1346958727531
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1346958727531
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1346958727531
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1346958727531
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1346958727531
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1346958727532
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1346958727532
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1346958727532
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1346958727532
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1346958727532
started,bundle,org.eclipse.m2e.logback.configuration,1.1.0.20120530-0009,"org.eclipse.m2e.logback.configuration",1346958727532
started,bundle,org.eclipse.equinox.weaving.aspectj,1.0.0.v20100503,"org.eclipse.equinox.weaving.aspectj",1346958727532
started,bundle,org.scala-ide.sdt.aspects,2.0.2.v-2_09-201207120929-81d0972,"org.scala-ide.sdt.aspects",1346958727532
os,sysinfo,,,"win32",1346958727534
arch,sysinfo,,,"x86_64",1346958727534
ws,sysinfo,,,"win32",1346958727534
locale,sysinfo,,,"en_US",1346958727534
processors,sysinfo,,,"8",1346958727534
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1346958727534
java.runtime.version,sysinfo,,,"1.6.0_33-b03",1346958727534
java.specification.name,sysinfo,,,"Java Platform API Specification",1346958727534
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1346958727534
java.specification.version,sysinfo,,,"1.6",1346958727534
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1346958727534
java.version,sysinfo,,,"1.6.0_33",1346958727534
java.vm.info,sysinfo,,,"mixed mode",1346958727534
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1346958727534
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1346958727534
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1346958727534
java.vm.specification.version,sysinfo,,,"1.0",1346958727534
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1346958727534
java.vm.version,sysinfo,,,"20.8-b03",1346958727534
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346958785132
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346965554001
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346965555483
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346965558434
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346965558481
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1346965558634
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1346965558637
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1346965558717
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1346965558717
